File,Errors,ID,Format,Version,Basis for ID,Warning
X:\school\data\Govdocs1-threads\340\340707.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\342\342380.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\344\344805.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\348\348092.text,,fmt/126,Microsoft Powerpoint Presentation,97-2003,container name PowerPoint Document with name only,extension mismatch
X:\school\data\Govdocs1-threads\349\349535.doc,,x-fmt/45,Microsoft Word Document Template,97-2003,"container name CompObj with byte match at 70, 20; name WordDocument with byte match at 10, 1",extension mismatch
X:\school\data\Govdocs1-threads\350\350197.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\350\350704.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\352\352047.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\353\353264.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\360\360927.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\361\361986.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\365\365186.dbase3,,x-fmt/9,dBASE Database,III,"byte match at 0, 44",extension mismatch
X:\school\data\Govdocs1-threads\367\367022.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\369\369871.gz#eit_00195_20030604_084626.fts,,x-fmt/111,Plain Text File,,text match ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\370\370483.txt,,UNKNOWN,,,,"no match; possibilities based on extension are x-fmt/111, fmt/1085, fmt/1591"
X:\school\data\Govdocs1-threads\375\375446.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\376\376134.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\378\378830.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\382\382809.dbase3,,x-fmt/9,dBASE Database,III,"byte match at 0, 44",extension mismatch
X:\school\data\Govdocs1-threads\385\385455.html,,fmt/101,Extensible Markup Language,1.0,"byte match at 0, 19",extension mismatch
X:\school\data\Govdocs1-threads\388\388474.ps,,fmt/420,Adobe Illustrator,5.0 / 5.5,"byte match at 0, 498",extension mismatch
X:\school\data\Govdocs1-threads\390\390236.kml,,UNKNOWN,,,,no match; possibilities based on extension are fmt/244
X:\school\data\Govdocs1-threads\390\390694.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\395\395504.txt,,UNKNOWN,,,,"no match; possibilities based on extension are x-fmt/111, fmt/1085, fmt/1591"
X:\school\data\Govdocs1-threads\396\396452.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\397\397951.unk,,x-fmt/111,Plain Text File,,text match ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\400\400282.unk,,UNKNOWN,,,,no match
X:\school\data\Govdocs1-threads\402\402495.gz#blackbox-0.70.0-1.0.rh9.rf.i386.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\405\405294.gz#405294,,x-fmt/383,Flexible Image Transport System,,"byte match at 0, 169",extension mismatch
X:\school\data\Govdocs1-threads\405\405370.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\406\406084.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\406\406733.tmp,,UNKNOWN,,,,no match; possibilities based on extension are fmt/1963
X:\school\data\Govdocs1-threads\408\408386.f,,fmt/879,Fortran,,extension match f,match on extension only
X:\school\data\Govdocs1-threads\412\412252.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\412\412988.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\414\414780.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\414\414856.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\417\417920.xml,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/101, fmt/121, fmt/120, fmt/896, fmt/1011, fmt/1189, fmt/1374, fmt/1376, fmt/1375, fmt/1377, fmt/1378, fmt/1379, fmt/1474, fmt/1475, fmt/1476, fmt/1477, fmt/1677, fmt/1724, fmt/1729, fmt/1771, fmt/1776, fmt/1813, fmt/1946, fmt/1997, fmt/1998, fmt/1999"
X:\school\data\Govdocs1-threads\422\422297.text,,fmt/40,Microsoft Word Document,97-2003,"container name CompObj with byte match at 77, 20; name WordDocument with name only",extension mismatch
X:\school\data\Govdocs1-threads\425\425175.html,,fmt/101,Extensible Markup Language,1.0,"byte match at 0, 19",extension mismatch
X:\school\data\Govdocs1-threads\425\425201.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\426\426450.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\429\429150.f,,fmt/879,Fortran,,extension match f,match on extension only
X:\school\data\Govdocs1-threads\430\430660.java,,x-fmt/422,Java Language Source Code File,,extension match java,match on extension only
X:\school\data\Govdocs1-threads\431\431090.xml,,fmt/979,XML Property List,,"byte match at 0, 172",extension mismatch
X:\school\data\Govdocs1-threads\431\431695.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\432\432973.unk,,x-fmt/111,Plain Text File,,text match ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\435\435737.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\444\444687.txt,,fmt/950,MIME Email,1.0,byte match at [[796 17] [654 4] [497 6] [453 6] [814 14]],extension mismatch
X:\school\data\Govdocs1-threads\445\445592.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\452\452222.gz#openbabel-2.1.1-1.rh7.rf.i386.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\454\454407.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\456\456642.kmz,,x-fmt/263,ZIP Format,,byte match at [[0 4] [71884 3] [71939 4]] (signature 1/2),extension mismatch
X:\school\data\Govdocs1-threads\458\458466.text,,x-fmt/111,Plain Text File,,text match ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\458\458562.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\459\459584.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\459\459818.html,,fmt/101,Extensible Markup Language,1.0,"byte match at 0, 19",extension mismatch
X:\school\data\Govdocs1-threads\461\461664.txt,,fmt/950,MIME Email,1.0,byte match at [[935 17] [833 4] [796 6] [897 6] [953 14]],extension mismatch
X:\school\data\Govdocs1-threads\461\461985.f,,fmt/879,Fortran,,extension match f,match on extension only
X:\school\data\Govdocs1-threads\462\462841.gz#yohk_softx_fd_19950318_1504.fts,,UNKNOWN,,,,no match
X:\school\data\Govdocs1-threads\464\464188.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\464\464262.sgml,,x-fmt/195,Standard Generalized Markup Language,,extension match sgml,match on extension only
X:\school\data\Govdocs1-threads\465\465207.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\465\465251.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\465\465960.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\466\466899.kmz,,x-fmt/263,ZIP Format,,byte match at [[0 4] [275797 3] [275857 4]] (signature 1/2),extension mismatch
X:\school\data\Govdocs1-threads\467\467497.gz#467497,,x-fmt/383,Flexible Image Transport System,,"byte match at 0, 169",extension mismatch
X:\school\data\Govdocs1-threads\467\467733.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\467\467966.xml,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/101, fmt/121, fmt/120, fmt/896, fmt/1011, fmt/1189, fmt/1374, fmt/1376, fmt/1375, fmt/1377, fmt/1378, fmt/1379, fmt/1474, fmt/1475, fmt/1476, fmt/1477, fmt/1677, fmt/1724, fmt/1729, fmt/1771, fmt/1776, fmt/1813, fmt/1946, fmt/1997, fmt/1998, fmt/1999"
X:\school\data\Govdocs1-threads\468\468635.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\469\469079.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\469\469487.pps,,fmt/126,Microsoft Powerpoint Presentation,97-2003,container name PowerPoint Document with name only,extension mismatch
X:\school\data\Govdocs1-threads\469\469540.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\470\470021.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\470\470662.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\470\470980.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\471\471097.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\471\471189.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\471\471814.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\471\471947.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\472\472213.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\472\472325.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\472\472783.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\473\473048.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\473\473179.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\473\473446.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\473\473508.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\473\473610.txt,,x-fmt/226,ESRI Arc/Info Export File,,byte match at [[0 6] [593772 10]],extension mismatch
X:\school\data\Govdocs1-threads\474\474039.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\474\474376.gz#474376,,x-fmt/383,Flexible Image Transport System,,"byte match at 0, 169",extension mismatch
X:\school\data\Govdocs1-threads\474\474965.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\475\475454.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\475\475544.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\475\475780.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\476\476259.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\476\476277.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\476\476456.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\476\476558.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\476\476668.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\476\476860.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\477\477363.ps,,UNKNOWN,,,,"no match; possibilities based on extension are x-fmt/91, fmt/124, x-fmt/406, x-fmt/407, x-fmt/408, fmt/501"
X:\school\data\Govdocs1-threads\477\477477.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\478\478486.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\478\478568.unk,,x-fmt/111,Plain Text File,,text match ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\479\479262.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\479\479399.gz#eit_00195_20030329_211153.fts,,x-fmt/111,Plain Text File,,text match ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\479\479464.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\479\479519.kmz,,x-fmt/263,ZIP Format,,byte match at [[0 4] [17142 3] [17215 4]] (signature 1/2),extension mismatch
X:\school\data\Govdocs1-threads\481\481276.gz#flood-0.4-1.rhfc1.dag.i386.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\481\481301.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\481\481340.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\481\481368.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\481\481380.gz#yohk_softx_fd_19970825_1601.fts,,x-fmt/383,Flexible Image Transport System,,"byte match at 0, 169",extension mismatch
X:\school\data\Govdocs1-threads\481\481770.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\482\482831.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\483\483621.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\484\484131.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\484\484410.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\485\485394.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\486\486401.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\487\487693.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\490\490777.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\492\492601.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\492\492605.html,,fmt/101,Extensible Markup Language,1.0,"byte match at 0, 19",extension mismatch
X:\school\data\Govdocs1-threads\493\493143.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\493\493376.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\493\493710.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\496\496103.kml,,UNKNOWN,,,,no match; possibilities based on extension are fmt/244
X:\school\data\Govdocs1-threads\496\496527.gz#eit_00171_20021114_190117.fts,,x-fmt/111,Plain Text File,,text match ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\499\499644.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\501\501289.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\502\502022.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\502\502159.kmz,,x-fmt/263,ZIP Format,,byte match at [[0 4] [17241 3] [17341 4]] (signature 1/2),extension mismatch
X:\school\data\Govdocs1-threads\502\502399.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\502\502901.java,,x-fmt/422,Java Language Source Code File,,extension match java,match on extension only
X:\school\data\Govdocs1-threads\504\504535.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\506\506554.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\507\507219.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\507\507386.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\508\508885.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\510\510229.kml,,fmt/101,Extensible Markup Language,1.0,"byte match at 0, 19",extension mismatch
X:\school\data\Govdocs1-threads\511\511999.kmz,,x-fmt/263,ZIP Format,,byte match at [[0 4] [10377 3] [10471 4]] (signature 1/2),extension mismatch
X:\school\data\Govdocs1-threads\513\513591.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\515\515301.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\518\518446.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\519\519614.gz#519614,,x-fmt/383,Flexible Image Transport System,,"byte match at 0, 169",extension mismatch
X:\school\data\Govdocs1-threads\520\520650.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\521\521371.doc,,x-fmt/45,Microsoft Word Document Template,97-2003,"container name CompObj with byte match at 70, 20; name WordDocument with byte match at 10, 1",extension mismatch
X:\school\data\Govdocs1-threads\522\522819.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\522\522901.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\522\522930.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\524\524132.hlp,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/474, fmt/1790"
X:\school\data\Govdocs1-threads\524\524162.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\527\527470.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\528\528192.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\529\529336.text,,x-fmt/111,Plain Text File,,text match ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\529\529604.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\529\529823.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\529\529965.doc,,x-fmt/45,Microsoft Word Document Template,97-2003,"container name CompObj with byte match at 77, 20; name WordDocument with byte match at 10, 1",extension mismatch
X:\school\data\Govdocs1-threads\530\530917.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\531\531453.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\531\531755.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\534\534613.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\535\535262.unk,,fmt/38,Microsoft Word for Windows Document,2.0,"byte match at 0, 22",extension mismatch
X:\school\data\Govdocs1-threads\537\537440.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\540\540276.gz#pearpc-0.2.0-1.1.fc1.dag.i386.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\541\541837.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\542\542766.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\544\544852.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\548\548333.kmz,,x-fmt/263,ZIP Format,,byte match at [[0 4] [107873 3] [107960 4]] (signature 1/2),extension mismatch
X:\school\data\Govdocs1-threads\549\549546.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\549\549873.kml,,UNKNOWN,,,,no match; possibilities based on extension are fmt/244
X:\school\data\Govdocs1-threads\553\553209.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\553\553386.xml,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/101, fmt/121, fmt/120, fmt/896, fmt/1011, fmt/1189, fmt/1374, fmt/1376, fmt/1375, fmt/1377, fmt/1378, fmt/1379, fmt/1474, fmt/1475, fmt/1476, fmt/1477, fmt/1677, fmt/1724, fmt/1729, fmt/1771, fmt/1776, fmt/1813, fmt/1946, fmt/1997, fmt/1998, fmt/1999"
X:\school\data\Govdocs1-threads\555\555893.xml,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/101, fmt/121, fmt/120, fmt/896, fmt/1011, fmt/1189, fmt/1374, fmt/1376, fmt/1375, fmt/1377, fmt/1378, fmt/1379, fmt/1474, fmt/1475, fmt/1476, fmt/1477, fmt/1677, fmt/1724, fmt/1729, fmt/1771, fmt/1776, fmt/1813, fmt/1946, fmt/1997, fmt/1998, fmt/1999"
X:\school\data\Govdocs1-threads\557\557368.xml,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/101, fmt/121, fmt/120, fmt/896, fmt/1011, fmt/1189, fmt/1374, fmt/1376, fmt/1375, fmt/1377, fmt/1378, fmt/1379, fmt/1474, fmt/1475, fmt/1476, fmt/1477, fmt/1677, fmt/1724, fmt/1729, fmt/1771, fmt/1776, fmt/1813, fmt/1946, fmt/1997, fmt/1998, fmt/1999"
X:\school\data\Govdocs1-threads\560\560730.xml,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/101, fmt/121, fmt/120, fmt/896, fmt/1011, fmt/1189, fmt/1374, fmt/1376, fmt/1375, fmt/1377, fmt/1378, fmt/1379, fmt/1474, fmt/1475, fmt/1476, fmt/1477, fmt/1677, fmt/1724, fmt/1729, fmt/1771, fmt/1776, fmt/1813, fmt/1946, fmt/1997, fmt/1998, fmt/1999"
X:\school\data\Govdocs1-threads\564\564640.xml,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/101, fmt/121, fmt/120, fmt/896, fmt/1011, fmt/1189, fmt/1374, fmt/1376, fmt/1375, fmt/1377, fmt/1378, fmt/1379, fmt/1474, fmt/1475, fmt/1476, fmt/1477, fmt/1677, fmt/1724, fmt/1729, fmt/1771, fmt/1776, fmt/1813, fmt/1946, fmt/1997, fmt/1998, fmt/1999"
