filename,filesize,modified,errors,md5,namespace,id,format,version,mime,class,basis,warning
X:\school\data\Govdocs1-threads\152\152710.pdf,24229,2003-06-12T10:01:02-04:00,,c9a46ce8d4ec9f21361007ed71295bf0,pronom,fmt/16,Acrobat PDF 1.2 - Portable Document Format,1.2,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [24223 5]],
X:\school\data\Govdocs1-threads\152\152860.unk,272384,2005-12-09T08:51:40-05:00,,6e1d1ac62b691247fe95426477fc6c0e,pronom,UNKNOWN,,,,,,no match
X:\school\data\Govdocs1-threads\153\153179.pdf,10773,2007-11-08T10:22:50-05:00,,8468449f3c4b246ad150445e625db9a2,pronom,fmt/17,Acrobat PDF 1.3 - Portable Document Format,1.3,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [10767 5]],
X:\school\data\Govdocs1-threads\153\153202.xls,39936,2007-03-22T13:04:24-04:00,,1fb39eb3c00bb09929452c9bdae24e74,pronom,fmt/61,Microsoft Excel 97 Workbook (xls),8,application/vnd.ms-excel,Spreadsheet,"extension match xls; container name Workbook with byte match at 0, 8 (signature 1/2)",
X:\school\data\Govdocs1-threads\153\153210.xls,14083072,2009-02-10T21:30:53-05:00,,0e90eb369b74d4b04975a65943ce054c,pronom,fmt/61,Microsoft Excel 97 Workbook (xls),8,application/vnd.ms-excel,Spreadsheet,"extension match xls; container name Workbook with byte match at 0, 8 (signature 1/2)",
X:\school\data\Govdocs1-threads\153\153268.txt,1677,2004-07-13T22:35:03-04:00,,0c3a6272ab1d7d3ccc0ea5239881074e,pronom,x-fmt/111,Plain Text File,,text/plain,,extension match txt; text match ASCII,
X:\school\data\Govdocs1-threads\153\153346.jpg,41619,2007-04-11T18:57:59-04:00,,ea7e3678da9685942d2700c2f9f72e1d,pronom,fmt/43,JPEG File Interchange Format,1.01,image/jpeg,Image (Raster),extension match jpg; byte match at [[0 14] [41617 2]],
X:\school\data\Govdocs1-threads\153\153378.doc,38912,2003-06-19T07:35:09-04:00,,620e63e809c4f7b0c51cbfb6ed04d012,pronom,fmt/40,Microsoft Word Document,97-2003,application/msword,Word Processor,"extension match doc; container name CompObj with byte match at 70, 20; name WordDocument with name only",
X:\school\data\Govdocs1-threads\153\153568.pdf,7842702,2006-04-11T10:00:30-04:00,,5745dfbc72eba65a40ebd2e2907368b7,pronom,fmt/18,Acrobat PDF 1.4 - Portable Document Format,1.4,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [7842696 5]],
X:\school\data\Govdocs1-threads\153\153626.xls,30720,2008-09-17T13:49:39-04:00,,df436f18127e6a2978b56a5383d9cd15,pronom,fmt/61,Microsoft Excel 97 Workbook (xls),8,application/vnd.ms-excel,Spreadsheet,"extension match xls; container name Workbook with byte match at 0, 8 (signature 1/2)",
X:\school\data\Govdocs1-threads\153\153670.ppt,7286272,2006-02-01T10:12:10-05:00,,04243d3a6c84990d155cf35c40cfd6af,pronom,fmt/126,Microsoft Powerpoint Presentation,97-2003,application/vnd.ms-powerpoint,Presentation,extension match ppt; container name PowerPoint Document with name only,
X:\school\data\Govdocs1-threads\153\153684.ppt,4118528,2004-03-09T11:19:36-05:00,,40d4eb0ccc509a2e394d6985e9a6c981,pronom,fmt/126,Microsoft Powerpoint Presentation,97-2003,application/vnd.ms-powerpoint,Presentation,extension match ppt; container name PowerPoint Document with name only,
X:\school\data\Govdocs1-threads\153\153694.pdf,36882,2008-03-12T12:53:24-04:00,,67af7f3eba149b2a3737ac606739435c,pronom,fmt/18,Acrobat PDF 1.4 - Portable Document Format,1.4,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [36875 5]],
X:\school\data\Govdocs1-threads\154\154007.txt,8811,2009-02-10T22:07:38-05:00,,6c8d49a86901d9ca9a22c136b501a81d,pronom,x-fmt/111,Plain Text File,,text/plain,,extension match txt; text match Non-ISO extended-ASCII,
X:\school\data\Govdocs1-threads\154\154032.kmz,1596,2006-10-02T17:59:49-04:00,,d8ce8aaac3a961b98d401c328be4fcb3,pronom,x-fmt/263,ZIP Format,,application/zip,Aggregate,byte match at [[0 4] [1498 3] [1574 4]] (signature 1/2),extension mismatch
X:\school\data\Govdocs1-threads\154\154032.kmz#harold_hudson.kml,24003,2006-10-02T14:46:32Z,,8292de1e128779f4715e9fdb683643cb,pronom,fmt/244,Keyhole Markup Language (XML),,application/vnd.google-earth.kml+xml,"GIS, Text (Mark-up)",extension match kml; byte match at [[0 19] [39 11] [23996 6]],
X:\school\data\Govdocs1-threads\154\154224.html,11597,2009-02-10T22:11:03-05:00,,479d97330e132b764fddb8990c414f9e,pronom,fmt/99,Hypertext Markup Language,4.0,text/html,Text (Mark-up),"extension match html; byte match at 4, 44",
X:\school\data\Govdocs1-threads\154\154238.html,91771,2009-02-10T22:11:11-05:00,,3687f5fae27954ac2cfa12bf001fe881,pronom,fmt/98,Hypertext Markup Language,3.2,text/html,Text (Mark-up),"extension match html; byte match at 0, 43",
X:\school\data\Govdocs1-threads\154\154253.txt,18445,2005-01-10T16:11:10-05:00,,4f2c6bc09b033d9a604ded1975ab90ec,pronom,x-fmt/111,Plain Text File,,text/plain,,extension match txt; text match Non-ISO extended-ASCII,
X:\school\data\Govdocs1-threads\154\154390.pdf,266762,2008-01-29T14:32:01-05:00,,c40b5fe637d4d7f1b67ef15c47b4eaf3,pronom,fmt/20,Acrobat PDF 1.6 - Portable Document Format,1.6,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [266755 5]],
X:\school\data\Govdocs1-threads\154\154523.html,20164,2009-02-10T22:13:53-05:00,,05dad3a61f5c05182a6bc39d2586ec8f,pronom,fmt/96,Hypertext Markup Language,,text/html,Text (Mark-up),extension match html; byte match at [[0 5] [20157 7]] (signature 1/2),
X:\school\data\Govdocs1-threads\154\154587.jpg,393592,2004-07-15T11:34:24-04:00,,d3452250bf9a7c9dc0c884103ebd5d19,pronom,fmt/44,JPEG File Interchange Format,1.02,image/jpeg,Image (Raster),extension match jpg; byte match at [[0 14] [393590 2]],
X:\school\data\Govdocs1-threads\154\154625.txt,501907,2002-09-29T18:41:06-04:00,,945ebc9558f6e40b7e40e7a9c4a93354,pronom,x-fmt/111,Plain Text File,,text/plain,,extension match txt; text match ASCII,
X:\school\data\Govdocs1-threads\154\154754.pdf,6840659,2008-11-15T12:22:50-05:00,,44c798747a966af9ed5a59ead9e652ae,pronom,fmt/17,Acrobat PDF 1.3 - Portable Document Format,1.3,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [6840653 5]],
X:\school\data\Govdocs1-threads\154\154760.pdf,298806,2005-01-29T16:01:44-05:00,,7c5cd3aba0e7f483af042bfbe8195a91,pronom,fmt/18,Acrobat PDF 1.4 - Portable Document Format,1.4,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [298799 5]],
X:\school\data\Govdocs1-threads\154\154785.xls,75264,2009-02-10T22:32:09-05:00,,c25104e44fdbc05cd907ef042b0e2337,pronom,fmt/61,Microsoft Excel 97 Workbook (xls),8,application/vnd.ms-excel,Spreadsheet,"extension match xls; container name Workbook with byte match at 0, 8 (signature 1/2)",
X:\school\data\Govdocs1-threads\154\154911.jpg,44909,2006-10-11T22:35:44-04:00,,e55bad1b3c6701199a669f4026fbf32d,pronom,fmt/44,JPEG File Interchange Format,1.02,image/jpeg,Image (Raster),extension match jpg; byte match at [[0 14] [44907 2]],
X:\school\data\Govdocs1-threads\155\155184.jpg,24450,2006-10-17T15:45:42-04:00,,a8edd1cedf65a8d112de7ff318f0d3f8,pronom,fmt/43,JPEG File Interchange Format,1.01,image/jpeg,Image (Raster),extension match jpg; byte match at [[0 14] [24448 2]],
X:\school\data\Govdocs1-threads\155\155326.html,10085,2008-11-14T12:49:18-05:00,,b6c4ca5f487b2460d49d775561c14197,pronom,fmt/99,Hypertext Markup Language,4.0,text/html,Text (Mark-up),"extension match html; byte match at 0, 44",
X:\school\data\Govdocs1-threads\155\155506.xls,149504,2006-08-30T14:58:37-04:00,,2ca6562886bce53ad409fd3b549e16c1,pronom,fmt/61,Microsoft Excel 97 Workbook (xls),8,application/vnd.ms-excel,Spreadsheet,"extension match xls; container name Workbook with byte match at 0, 8 (signature 1/2)",
X:\school\data\Govdocs1-threads\155\155586.txt,59642,2004-12-30T14:55:20-05:00,,25353887d105c162458e8a43e3445b0c,pronom,x-fmt/111,Plain Text File,,text/plain,,extension match txt; text match Non-ISO extended-ASCII,
X:\school\data\Govdocs1-threads\155\155894.pdf,2939272,2003-12-02T16:20:53-05:00,,d36bff75b79651d738293c7dc49aa401,pronom,fmt/17,Acrobat PDF 1.3 - Portable Document Format,1.3,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [2939266 5]],
X:\school\data\Govdocs1-threads\156\156026.html,7014,2008-03-04T10:04:04-05:00,,93db9d553eb9407102a46ea20bfbc42f,pronom,fmt/99,Hypertext Markup Language,4.0,text/html,Text (Mark-up),"extension match html; byte match at 0, 44",
X:\school\data\Govdocs1-threads\156\156300.html,259471,2007-12-07T17:19:46-05:00,,79620af070fabe3346d8ac9e9ededf0f,pronom,fmt/96,Hypertext Markup Language,,text/html,Text (Mark-up),extension match html; byte match at [[0 5] [259463 7]] (signature 1/2),
X:\school\data\Govdocs1-threads\156\156402.pdf,68411,2006-08-31T21:30:25-04:00,,3ceaf4136b7754de068e79f8e59a09b1,pronom,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [68405 5]],
X:\school\data\Govdocs1-threads\156\156439.xls,3743232,2007-11-26T15:10:48-05:00,,7672ec87d7a48879af25639591d63982,pronom,fmt/61,Microsoft Excel 97 Workbook (xls),8,application/vnd.ms-excel,Spreadsheet,"extension match xls; container name Workbook with byte match at 0, 8 (signature 1/2)",
X:\school\data\Govdocs1-threads\156\156453.html,16673,2007-04-12T00:00:00-04:00,,7d63fadf5d2ac11291982af31d67a5b2,pronom,fmt/96,Hypertext Markup Language,,text/html,Text (Mark-up),extension match html; byte match at [[0 5] [16665 7]] (signature 1/2),
X:\school\data\Govdocs1-threads\156\156471.html,43622,2009-02-10T23:25:55-05:00,,9c015de42cb72979ed7a36de44b71112,pronom,fmt/96,Hypertext Markup Language,,text/html,Text (Mark-up),extension match html; byte match at [[126 5] [43614 7]] (signature 1/2),
X:\school\data\Govdocs1-threads\156\156519.jpg,13922,2003-07-29T12:39:12-04:00,,2b3efff09bd7e7373a2a1a4424d49cf3,pronom,fmt/44,JPEG File Interchange Format,1.02,image/jpeg,Image (Raster),extension match jpg; byte match at [[0 14] [13920 2]],
X:\school\data\Govdocs1-threads\156\156544.pdf,107394,2006-08-24T11:49:09-04:00,,f2a7d786f23d1d46c35a5638114b5630,pronom,fmt/16,Acrobat PDF 1.2 - Portable Document Format,1.2,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [107388 5]],
X:\school\data\Govdocs1-threads\156\156644.pdf,460674,2008-01-11T08:31:18-05:00,,b38e12a7ad554559bd2d517bb92dce2f,pronom,fmt/17,Acrobat PDF 1.3 - Portable Document Format,1.3,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [460668 5]],
X:\school\data\Govdocs1-threads\156\156974.txt,10465371,2000-10-11T11:46:47-04:00,,692829694a183a77b1944fa4feeecd04,pronom,x-fmt/111,Plain Text File,,text/plain,,extension match txt; text match ASCII,
X:\school\data\Govdocs1-threads\157\157055.csv,1976745,2008-09-15T12:59:36-04:00,,1bcbd76653ca14501dfae402c181f5d4,pronom,x-fmt/18,Comma Separated Values,,text/csv,Dataset,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\157\157258.html,13453,2009-02-10T23:51:39-05:00,,58ad6e34b74c0d62bb7460e910e6d917,pronom,fmt/99,Hypertext Markup Language,4.0,text/html,Text (Mark-up),"extension match html; byte match at 21, 44",
X:\school\data\Govdocs1-threads\157\157378.ppt,1995776,2006-06-01T12:34:04-04:00,,c1674d11f65a99d614f2199f66760bcb,pronom,fmt/126,Microsoft Powerpoint Presentation,97-2003,application/vnd.ms-powerpoint,Presentation,extension match ppt; container name PowerPoint Document with name only,
X:\school\data\Govdocs1-threads\157\157438.gz,955610,2003-09-14T05:26:24-04:00,,5eda497d76129e956795c3b134fea237,pronom,x-fmt/266,GZIP Format,,application/gzip,Aggregate,"extension match gz; byte match at 0, 3",
X:\school\data\Govdocs1-threads\157\157438.gz#eit_00195_20030913_072409.fts,2108160,2003-09-14T05:26:24-04:00,,c1e09a32aa6818cab383f08109a79163,pronom,x-fmt/111,Plain Text File,,text/plain,,text match ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\157\157581.doc,173056,2004-11-05T16:47:58-04:00,,71f4a7311a150e7b420cf6ad3245518d,pronom,fmt/40,Microsoft Word Document,97-2003,application/msword,Word Processor,"extension match doc; container name CompObj with byte match at 70, 20; name WordDocument with name only",
X:\school\data\Govdocs1-threads\157\157646.html,6455,2007-10-09T08:36:12-04:00,,c3beabf57c99a3004745db53f88b3805,pronom,fmt/96,Hypertext Markup Language,,text/html,Text (Mark-up),extension match html; byte match at [[0 5] [6446 7]] (signature 1/2),
X:\school\data\Govdocs1-threads\157\157688.txt,6747,2004-09-21T17:11:40-04:00,,d906687a16be09987a34c6147923e075,pronom,x-fmt/111,Plain Text File,,text/plain,,extension match txt; text match ASCII,
X:\school\data\Govdocs1-threads\157\157837.txt,18433,2001-10-19T13:17:29-04:00,,9e526c7ffd17716cff2ef14c3afbf7fe,pronom,x-fmt/111,Plain Text File,,text/plain,,extension match txt; text match ASCII,
X:\school\data\Govdocs1-threads\157\157844.txt,27660,1997-07-24T13:22:39-04:00,,90fde390a8fb613f8faf61a58c04fa5e,pronom,x-fmt/111,Plain Text File,,text/plain,,extension match txt; text match ASCII,
X:\school\data\Govdocs1-threads\157\157970.html,2817,2005-06-29T01:01:47-04:00,,27befc97249b1c625d1a30c45244de28,pronom,fmt/99,Hypertext Markup Language,4.0,text/html,Text (Mark-up),"extension match html; byte match at 0, 44",
X:\school\data\Govdocs1-threads\158\158095.txt,547,2007-06-14T14:39:32-04:00,,dd07508c2924716eb6b3a4f27d419b6e,pronom,x-fmt/111,Plain Text File,,text/plain,,extension match txt; text match ASCII,
X:\school\data\Govdocs1-threads\158\158106.pdf,283827,2008-10-07T09:53:23-04:00,,9edf8fe5f6fe1ce46c209e2f14adf82b,pronom,fmt/18,Acrobat PDF 1.4 - Portable Document Format,1.4,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [283821 5]],
X:\school\data\Govdocs1-threads\158\158146.doc,72704,2002-12-04T12:18:20-05:00,,da864a9f755a486d0faa4b19294a0dd4,pronom,fmt/40,Microsoft Word Document,97-2003,application/msword,Word Processor,"extension match doc; container name CompObj with byte match at 70, 20; name WordDocument with name only",
X:\school\data\Govdocs1-threads\158\158182.ppt,1767424,2007-02-02T12:16:23-05:00,,0e5418c4238ae28857fa22c2211a94a7,pronom,fmt/126,Microsoft Powerpoint Presentation,97-2003,application/vnd.ms-powerpoint,Presentation,extension match ppt; container name PowerPoint Document with name only,
X:\school\data\Govdocs1-threads\158\158515.pdf,67432,2008-04-10T09:11:21-04:00,,c7c65938cdf688f885df8e7c4cca0ef5,pronom,fmt/18,Acrobat PDF 1.4 - Portable Document Format,1.4,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [67426 5]],
X:\school\data\Govdocs1-threads\158\158611.txt,2055,2008-11-15T13:20:59-05:00,,f5ac79d9ad0bd6c8465c0fc2f19d4f5a,pronom,x-fmt/111,Plain Text File,,text/plain,,extension match txt; text match ASCII,
X:\school\data\Govdocs1-threads\158\158798.pdf,80451,2009-02-03T11:30:29-05:00,,f8aa37f8dd5ccfcd08d0e180e2d0e772,pronom,fmt/18,Acrobat PDF 1.4 - Portable Document Format,1.4,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [80445 5]],
X:\school\data\Govdocs1-threads\159\159325.html,10102,2008-11-06T03:03:31-05:00,,e8f38503580032910e1a841383995968,pronom,fmt/96,Hypertext Markup Language,,text/html,Text (Mark-up),extension match html; byte match at [[0 5] [10095 7]] (signature 1/2),
X:\school\data\Govdocs1-threads\159\159533.html,16650,2007-01-29T17:23:55-05:00,,060ab8a7ede2fba8255d2a6a76711a28,pronom,fmt/583,Vector Markup Language,,,"Image (Vector), Text (Mark-up)","extension match html; byte match at 6, 39",
X:\school\data\Govdocs1-threads\159\159663.pdf,771117,2007-01-30T09:47:25-05:00,,adff78e43f51dc774e762117a34cf241,pronom,fmt/16,Acrobat PDF 1.2 - Portable Document Format,1.2,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [771110 5]],
X:\school\data\Govdocs1-threads\159\159764.pdf,115087,2006-07-30T17:41:30-04:00,,9746a14a24b158ce7cfc1a5b76c6e706,pronom,fmt/20,Acrobat PDF 1.6 - Portable Document Format,1.6,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [115080 5]],
X:\school\data\Govdocs1-threads\159\159843.txt,501907,2002-09-29T17:28:54-04:00,,ecb3acc634ee9fd0807febcbf4208775,pronom,x-fmt/111,Plain Text File,,text/plain,,extension match txt; text match ASCII,
X:\school\data\Govdocs1-threads\159\159889.pdf,55137,2004-02-27T11:10:06-05:00,,ef676a93c647f5b361dc51203dc5d089,pronom,fmt/17,Acrobat PDF 1.3 - Portable Document Format,1.3,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [55131 5]],
X:\school\data\Govdocs1-threads\159\159981.txt,39432,2000-01-27T10:44:00-05:00,,eb1208e877b41780f87960e4ae977e8c,pronom,x-fmt/111,Plain Text File,,text/plain,,extension match txt; text match ASCII,
X:\school\data\Govdocs1-threads\160\160126.pdf,52061,2002-08-22T10:44:08-04:00,,2312f4b87358d071799ff2d7b94ce5ec,pronom,fmt/17,Acrobat PDF 1.3 - Portable Document Format,1.3,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [52055 5]],
X:\school\data\Govdocs1-threads\160\160239.pdf,1269757,2008-05-21T15:52:27-04:00,,6827cccf9fcbb6af8c5d9122a2785a91,pronom,fmt/18,Acrobat PDF 1.4 - Portable Document Format,1.4,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [1269751 5]],
X:\school\data\Govdocs1-threads\160\160267.html,20022,2009-02-11T01:19:09-05:00,,9ce1b409be3fce31903faee77796c5a3,pronom,fmt/99,Hypertext Markup Language,4.0,text/html,Text (Mark-up),"extension match html; byte match at 4, 44",
X:\school\data\Govdocs1-threads\160\160536.html,24479,2009-02-11T01:30:47-05:00,,0e4c71bf747669dbc1636fe0c6fdd180,pronom,fmt/96,Hypertext Markup Language,,text/html,Text (Mark-up),extension match html; byte match at [[0 5] [24470 7]] (signature 1/2),
X:\school\data\Govdocs1-threads\160\160637.jpg,65317,2002-01-18T14:16:22-05:00,,f033e5149d97a458078e22d08155148d,pronom,fmt/43,JPEG File Interchange Format,1.01,image/jpeg,Image (Raster),extension match jpg; byte match at [[0 14] [65315 2]],
X:\school\data\Govdocs1-threads\160\160799.txt,162788,2002-04-19T10:02:15-04:00,,50c3f085f1b35d903d2e42c3e903f711,pronom,x-fmt/111,Plain Text File,,text/plain,,extension match txt; text match ASCII,
X:\school\data\Govdocs1-threads\160\160826.pdf,124830,2006-09-15T18:05:05-04:00,,fa4416f5b63524676ed5410a2fe00ed2,pronom,fmt/18,Acrobat PDF 1.4 - Portable Document Format,1.4,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [124824 5]],
X:\school\data\Govdocs1-threads\160\160873.pdf,634001,2002-10-30T17:03:32-04:00,,08b0e1b576e9a782d7e94cf688750668,pronom,fmt/18,Acrobat PDF 1.4 - Portable Document Format,1.4,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [633995 5]],
X:\school\data\Govdocs1-threads\160\160999.txt,12515,2009-02-11T01:38:48-05:00,,0e3a82f3ddf41da204abc6e3e094e9c3,pronom,x-fmt/111,Plain Text File,,text/plain,,extension match txt; text match Non-ISO extended-ASCII,
X:\school\data\Govdocs1-threads\161\161266.pdf,26939,2008-09-26T12:13:52-04:00,,5ec8c6ae10ad8d57aebe4b2826913870,pronom,fmt/16,Acrobat PDF 1.2 - Portable Document Format,1.2,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [26933 5]],
X:\school\data\Govdocs1-threads\161\161293.xml,5645,2005-12-29T06:53:01-05:00,,204914b921b546d25a355305a8583211,pronom,fmt/101,Extensible Markup Language,1.0,application/xml,Text (Mark-up),"extension match xml; byte match at 0, 19",
X:\school\data\Govdocs1-threads\161\161623.jpg,69095,2007-07-29T16:46:03-04:00,,0330cbc660eb2be08da8c8978234083b,pronom,fmt/44,JPEG File Interchange Format,1.02,image/jpeg,Image (Raster),extension match jpg; byte match at [[0 14] [69093 2]],
X:\school\data\Govdocs1-threads\162\162020.txt,16450,1999-04-30T14:08:08-04:00,,48e8c76e0531b1be07bec9ecd4d8d474,pronom,x-fmt/111,Plain Text File,,text/plain,,extension match txt; text match ASCII,
X:\school\data\Govdocs1-threads\162\162024.jpg,216854,2004-10-19T10:32:12-04:00,,847622e20d6ddde5702517c5af323169,pronom,fmt/44,JPEG File Interchange Format,1.02,image/jpeg,Image (Raster),extension match jpg; byte match at [[0 14] [216852 2]],
X:\school\data\Govdocs1-threads\162\162128.html,1901,2006-06-01T19:36:33-04:00,,ff20c3dedc58580565488c334af835aa,pronom,fmt/96,Hypertext Markup Language,,text/html,Text (Mark-up),extension match html; byte match at [[2 5] [1894 7]] (signature 1/2),
X:\school\data\Govdocs1-threads\162\162138.csv,10288,2006-10-18T19:45:53-04:00,,c0799ab835287e3f706408353b38af64,pronom,x-fmt/18,Comma Separated Values,,text/csv,Dataset,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\162\162202.html,36508,2009-02-11T02:11:19-05:00,,9037d7ca3ce9bd272a2b0c8d3007f999,pronom,fmt/99,Hypertext Markup Language,4.0,text/html,Text (Mark-up),"extension match html; byte match at 6, 44",
X:\school\data\Govdocs1-threads\162\162341.ppt,69120,2003-06-09T17:37:30-04:00,,770fea3bead4906103433e8abcf18526,pronom,fmt/126,Microsoft Powerpoint Presentation,97-2003,application/vnd.ms-powerpoint,Presentation,extension match ppt; container name PowerPoint Document with name only,
X:\school\data\Govdocs1-threads\162\162380.pdf,1706882,2008-03-17T14:09:50-04:00,,067a4980077f859925261f6f43bb1e8c,pronom,fmt/18,Acrobat PDF 1.4 - Portable Document Format,1.4,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [1706875 5]],
X:\school\data\Govdocs1-threads\162\162435.pdf,831535,2006-08-30T11:55:23-04:00,,bdffb0ca65a950460fef9167190da483,pronom,fmt/17,Acrobat PDF 1.3 - Portable Document Format,1.3,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [831529 5]],
X:\school\data\Govdocs1-threads\162\162539.pps,246272,2006-05-17T10:37:55-04:00,,39888f0f609aa879af2bca040663245d,pronom,fmt/126,Microsoft Powerpoint Presentation,97-2003,application/vnd.ms-powerpoint,Presentation,container name PowerPoint Document with name only,extension mismatch
X:\school\data\Govdocs1-threads\162\162788.pdf,686156,2008-09-11T10:18:17-04:00,,f7d6f458e277b94f48aa989e8936db5a,pronom,fmt/18,Acrobat PDF 1.4 - Portable Document Format,1.4,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [686149 5]],
X:\school\data\Govdocs1-threads\162\162811.pdf,571157,2008-01-18T12:14:20-05:00,,f3d5c79625a510cb8d3ab3aa46eff741,pronom,fmt/18,Acrobat PDF 1.4 - Portable Document Format,1.4,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [571150 5]],
X:\school\data\Govdocs1-threads\163\163059.txt,502046,2003-08-20T07:35:34-04:00,,b2988aef7c7d32acac3dbed50b9928df,pronom,x-fmt/111,Plain Text File,,text/plain,,extension match txt; text match ASCII,
X:\school\data\Govdocs1-threads\163\163082.html,11809,2005-02-11T13:51:51-05:00,,42d8130ec91542108546aacf75ad59f1,pronom,fmt/96,Hypertext Markup Language,,text/html,Text (Mark-up),extension match html; byte match at [[0 5] [11799 7]] (signature 1/2),
X:\school\data\Govdocs1-threads\163\163159.csv,2135798,2008-09-15T12:58:19-04:00,,d14078b23ed94c910884629998829a80,pronom,x-fmt/18,Comma Separated Values,,text/csv,Dataset,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\163\163464.unk,35739,2005-03-23T09:34:03-04:00,,ad2c8c01156f71f85debd5e9e6a88dbe,pronom,x-fmt/111,Plain Text File,,text/plain,,text match ISO-8859,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\163\163485.txt,2068,2004-03-18T21:22:04-04:00,,c088ec9e8efde114cb82236bfdd33fee,pronom,x-fmt/111,Plain Text File,,text/plain,,extension match txt; text match ASCII,
X:\school\data\Govdocs1-threads\163\163580.html,6652,2009-02-11T02:36:44-05:00,,1704d70bafdd5cdf502ca22564c12341,pronom,fmt/102,Extensible Hypertext Markup Language,1.0,application/xhtml+xml,Text (Mark-up),extension match html; byte match at [[0 44] [122 42] [307 7] [452 8]],
X:\school\data\Govdocs1-threads\163\163583.html,1899,2003-04-18T07:32:28-04:00,,0ac69445454fc4331bba8fd055c0b0ff,pronom,fmt/99,Hypertext Markup Language,4.0,text/html,Text (Mark-up),"extension match html; byte match at 0, 44",
X:\school\data\Govdocs1-threads\163\163618.html,48943,2006-07-19T18:27:04-04:00,,057a0ba9e2d30d994a23486708dd3c9e,pronom,fmt/99,Hypertext Markup Language,4.0,text/html,Text (Mark-up),"extension match html; byte match at 0, 44",
X:\school\data\Govdocs1-threads\163\163734.doc,205312,2004-02-10T09:38:49-05:00,,c3b29bcbed669d37fba9340950250b67,pronom,fmt/40,Microsoft Word Document,97-2003,application/msword,Word Processor,"extension match doc; container name CompObj with byte match at 70, 20; name WordDocument with name only",
X:\school\data\Govdocs1-threads\163\163946.pdf,461090,2006-11-03T08:06:55-04:00,,3b1963e418ccaa08a5a14ddbf8941ea7,pronom,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [461083 5]],
X:\school\data\Govdocs1-threads\164\164247.html,59371,2009-02-11T02:50:02-05:00,,61783632f06c7f1bbd65b25c368523ad,pronom,fmt/102,Extensible Hypertext Markup Language,1.0,application/xhtml+xml,Text (Mark-up),extension match html; byte match at [[39 44] [161 42] [1034 7] [1112 8]],
X:\school\data\Govdocs1-threads\164\164334.jpg,79833,2002-10-03T15:18:17-04:00,,c24fedf44d1a68013df42c6ea0b345ae,pronom,fmt/44,JPEG File Interchange Format,1.02,image/jpeg,Image (Raster),extension match jpg; byte match at [[0 14] [79831 2]],
X:\school\data\Govdocs1-threads\164\164503.html,53312,2007-04-23T17:18:32-04:00,,2b16f65c89cc2bdef13752c24d8417a2,pronom,fmt/96,Hypertext Markup Language,,text/html,Text (Mark-up),extension match html; byte match at [[0 5] [53303 7]] (signature 1/2),
X:\school\data\Govdocs1-threads\164\164601.pdf,821082,2008-07-28T18:12:20-04:00,,05f506e53f4d6799c7a72203ed0d1574,pronom,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [821075 5]],
X:\school\data\Govdocs1-threads\164\164624.html,68915,2009-02-11T02:55:05-05:00,,4f2c5f16f22f4d762453ce0a545b04ee,pronom,fmt/99,Hypertext Markup Language,4.0,text/html,Text (Mark-up),"extension match html; byte match at 24, 44",
X:\school\data\Govdocs1-threads\164\164731.ppt,4284416,2006-03-08T09:38:34-05:00,,0001c2a966553f78990fe069a9a88a71,pronom,fmt/126,Microsoft Powerpoint Presentation,97-2003,application/vnd.ms-powerpoint,Presentation,extension match ppt; container name PowerPoint Document with name only,
